year,birth_total,birth_male,birth_female,population_total,population_male,population_female,firstborn,secondborn,thirdborn,forthborn,fifthborn_and_above,mother_age_20-24,mother_age_25-29,mother_age_30-34,mother_age_35-39
1996,1206555,619793,586762,124709000,61115000,63594000,574054,444571,154457,26532,6941,,,,
1997,1191665,610905,580760,124963000,61210000,63753000,571608,437120,150257,25845,6835,,,,
1998,1203147,617414,585733,125252000,61311000,63941000,583588,439459,148163,25230,6707,,,,
1999,1177669,604769,572900,125432000,61358000,64074000,579150,427385,140682,23738,6714,,,,
2000,1190547,612148,578399,125612633,61488005,64124628,583220,434964,141011,24644,6708,161361,470833,396901,126409
2001,1170662,600918,569744,125908000,61595000,64313000,573918,428197,137814,24058,6675,,,,
2002,1153855,592840,561015,126008000,61591000,64417000,571501,421042,131636,23037,6639,,,,
2003,1123610,576736,546874,126139000,61620000,64520000,547170,419100,128083,22615,6642,,,,
2004,1110721,569559,541162,126176000,61597000,64579000,537913,417647,126117,22458,6586,,,,
2005,1062530,545032,517498,126204902,61617893,64587009,512412,399307,122501,21841,6469,128135,339328,404700,153440
2006,1092674,560439,532235,126154000,61568000,64586000,524581,408531,129555,23164,6843,,,,
2007,1089818,559847,529971,126085000,61511000,64574000,519767,403656,134951,24203,7241,,,,
2008,1091156,559513,531643,125947000,61424000,64523000,517724,402152,137945,25804,7531,,,,
2009,1070036,548994,521042,125820000,61339000,64481000,512743,390073,134171,25303,7746,116808,307765,389793,209707
2010,1071305,550743,520562,126381728,61571727,64810001,509736,390213,136302,26885,8169,110956,306910,384386,220101
2011,1050807,538271,512536,126180000,61453000,64727000,494713,383666,136687,27280,8461,104060,300384,373490,221272
2012,1037232,531781,505451,125957000,61328000,64630000,484711,382461,134339,27218,8503,95805,292464,367715,225480
2013,1029817,527657,502160,125704000,61186000,64518000,481418,379467,133183,27193,8556,91251,282794,365404,229741
2014,1003609,515572,488037,125431000,61041000,64391000,474229,364787,129687,26449,8457,86600,267866,359348,225899
2015,1005721,515468,490253,125319299,61022756,64296543,478101,363244,129708,26271,8397,84465,262266,364887,228302
2016,977242,502012,475230,125020252,60866773,64153479,459873,355876,126570,26427,8496,82194,250715,355018,223329
2017,946146,484478,461668,124648471,60675736,63972735,439295,348859,123050,26230,8712,79272,240959,345441,216954
2018,918400,470851,447549,124218285,60454898,63763387,426407,338094,119732,25546,8621,77023,233754,334906,211021
2019,865239,443430,421809,123731176,60208034,63523142,400952,315713,114630,25106,8838,72092,220933,312582,201010
2020,840835,430713,410122,123398962,60002838,63396124,392538,304028,110818,24788,8663,66751,217804,303436,196321
2021,811622,415903,395719,122780487,59686643,63093844,372434,294444,109953,25549,9242,59896,210433,292439,193177
2022,770759,395257,375502,122030523,59313678,62716845,355523,281418,101233,23677,8908,52850,202505,279517,183327
